Sort ID,Druckenbrod Sort ID,Key,APS call number,File name,Transaction number (on this page),APS Digital Library page image URL,APS notes,Druckenbrod notes,Date of entry,Time of entry as transcribed,Time of entry standardized,Wind direction as transcribed,Wind direction standardized,Temperature (Fahrenheit) as transcribed,Temperature (Fahrenheit) standardized,Daily temp high (Fahrenheit) as transcribed,Temp high entry time as transcribed,Temp high entry time standardized,Precipitation time,Precipitation type,Precipitation measurement (inches),Observer data,Meteorological observations as transcribed,Cloudy,Fair,Smoke,Misty,Frost,Snow,Sleet,Overcast,Clear,Rain,Foggy,Hail,Thunder,Lightning,Hazy,Muddy,Natural Phenomena,Birds,Mammals,Reptiles/Amphibians,Insects/Arthropods,Fish/Aquatic,Plants,Leafing,Losing Leaves,Blooming,Planted,Harvested,Availability of produce,Trees,Seasonal Phenomena,Other Observations Transcribed
16,25, APS-275576-005_08,Mss.551.5.M26,275576-5,8,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-08,4:00 PM,16:00,NW,NW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,y,,,y,,,,,,White Hyacinths blossom
17,26, APS-275576-005_09,Mss.551.5.M26,275576-5,9,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-09,sunrise,5:36,S,S,,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,27, APS-275576-005_09,Mss.551.5.M26,275576-5,9,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-09,4:00 PM,16:00,NE,NE,,,,,,,,,James Madison,air thick,,,,,,,,,,,,,,,,,,,,,,,y,,,y,,,,,,Jonquils blossom
19,28, APS-275576-005_10,Mss.551.5.M26,275576-5,10,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-10,4:00 PM,16:00,NE,NE,,,,,,,,,James Madison,"rainy, trees covered with sleet",,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
20,29, APS-275576-005_10,Mss.551.5.M26,275576-5,10,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-10,sunrise,5:35,SW,SW,,,,,,,,,James Madison,"cloudy & damp but no rain, sleet still on trees",y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,30, APS-275576-005_11,Mss.551.5.M26,275576-5,11,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-11,4:00 PM,16:00,SW,SW,,,,,,,,,James Madison,thick fog,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
22,31, APS-275576-005_11,Mss.551.5.M26,275576-5,11,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-11,sunrise,5:34,NW,NW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
23,32, APS-275576-005_12,Mss.551.5.M26,275576-5,12,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-12,sunrise,5:32,N,N,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
24,33, APS-275576-005_12,Mss.551.5.M26,275576-5,12,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-12,4:00 PM,16:00,W,W,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,y,,,y,,,,,,Daffidils blossom
25,34, APS-275576-005_13,Mss.551.5.M26,275576-5,13,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-13,4:00 PM,16:00,SW if any,SW,,,,,,,,,James Madison,"air thick, sky muddy",,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,
26,35, APS-275576-005_13,Mss.551.5.M26,275576-5,13,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-13,sunrise,5:31,S,S,,,,,,,,,James Madison,air thick & smokey,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,36, APS-275576-005_14,Mss.551.5.M26,275576-5,14,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-14,sunrise,5:30,S,S,,,,,,,,,James Madison,cloudy & moist,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,37, APS-275576-005_14,Mss.551.5.M26,275576-5,14,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,"No temperature recorded. Decided to put "hickories budding" and other tree-related comments under Trees and Plants  and "budding" comments under leafing.""o temperature recorded. Decided to put "hickories budding" and other tree-related comments under Trees and Plant"" temperature recorded. Decided to put "hickories budding" and other tree""temperature recorded. Decided to ",,1784-04-14,4:00 PM,16:00,W,W,,,,,,,,,James Madison,cloudy with light showers,y,,,,,,,,,y,,,,,,,,,,,,,y,y,,,,,,y,,Hickories on tops of SW. Mountains begin to bud
29,38, APS-275576-005_15,Mss.551.5.M26,275576-5,15,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-15,4:00 PM,16:00,W,W,,,,,,,,,James Madison,flying clouds,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,39, APS-275576-005_15,Mss.551.5.M26,275576-5,15,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-15,sunrise,5:29,NW,NW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
31,40, APS-275576-005_16,Mss.551.5.M26,275576-5,16,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-16,sunrise,5:27,SW,SW,,,,,,,,,James Madison,clear except muddy to westward,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,
32,41, APS-275576-005_16,Mss.551.5.M26,275576-5,16,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-16,4:00 PM,16:00,NW,NW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,y,,,y,,,,y,,Peach trees begin to blossom
33,42, APS-275576-005_17,Mss.551.5.M26,275576-5,17,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-17,sunrise,5:26,N,N,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
34,43, APS-275576-005_17,Mss.551.5.M26,275576-5,17,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-17,4:00 PM,16:00,N,N,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,y,,,y,,,,y,,Cherry trees begin to blossom
35,44, APS-275576-005_18,Mss.551.5.M26,275576-5,18,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-18,sunrise,5:25,N,N,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
36,45, APS-275576-005_18,Mss.551.5.M26,275576-5,18,https://diglib.amphilsoc.org/islandora/object/text%3A275576-5,No temperature recorded.,,1784-04-18,4:00 PM,16:00,NE,NE,,,,,,,,,James Madison,sky muddy,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,
37,46, APS-275576-007_01,Mss.551.5.M26,275576-7,1,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-19,sunrise,5:24,S,S,,,,,,,,,James Madison,cloudy & damp,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,47, APS-275576-007_01,Mss.551.5.M26,275576-7,1,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-19,4:00 PM,16:00,SW,SW,,,,,,,,,James Madison,cloudy & damp,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,48, APS-275576-007_02,Mss.551.5.M26,275576-7,2,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-20,sunrise,5:23,S,S,,,,,,,,,James Madison,cloudy & damp,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,49, APS-275576-007_02,Mss.551.5.M26,275576-7,2,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-20,4:00 PM,16:00,SW,SW,,,,,,,,,James Madison,cloudy with some thunder,y,,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,
41,50, APS-275576-007_03,Mss.551.5.M26,275576-7,3,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-21,sunrise,5:21,SW,SW,,,,,,,,,James Madison,clouds high and broken,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,51, APS-275576-007_03,Mss.551.5.M26,275576-7,3,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-21,4:00 PM,16:00,NW,NW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
43,52, APS-275576-007_04,Mss.551.5.M26,275576-7,4,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-22,4:00 PM,16:00,W,W,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
44,53, APS-275576-007_04,Mss.551.5.M26,275576-7,4,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-22,sunrise,5:20,N,N,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
45,54, APS-275576-007_05,Mss.551.5.M26,275576-7,5,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-23,4:00 PM,16:00,SW,SW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
46,55, APS-275576-007_05,Mss.551.5.M26,275576-7,5,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-23,sunrise,5:19,SW,SW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
47,56, APS-275576-007_06,Mss.551.5.M26,275576-7,6,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-24,sunrise,5:18,NE,NE,,,,,,,,,James Madison,sky muddy,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,
48,57, APS-275576-007_06,Mss.551.5.M26,275576-7,6,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-24,4:00 PM,16:00,W,W,,,,,,,,,James Madison,air thick & smokey,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,58, APS-275576-007_07,Mss.551.5.M26,275576-7,7,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-25,4:00 PM,16:00,W,W,,,,,,,,,James Madison,sky muddy,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,,,
50,59, APS-275576-007_07,Mss.551.5.M26,275576-7,7,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-25,sunrise,5:17,W,W,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
51,60, APS-275576-007_08,Mss.551.5.M26,275576-7,8,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-26,sunrise,5:16,,,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
52,61, APS-275576-007_08,Mss.551.5.M26,275576-7,8,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-26,4:00 PM,16:00,NE,NE,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
53,62, APS-275576-007_09,Mss.551.5.M26,275576-7,9,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-27,sunrise,5:14,SW,SW,,,,,,,,,James Madison,clouds high and thin,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,63, APS-275576-007_09,Mss.551.5.M26,275576-7,9,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-27,4:00 PM,16:00,SW,SW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
55,64, APS-275576-007_10,Mss.551.5.M26,275576-7,10,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-28,4:00 PM,16:00,SW,SW,,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,65, APS-275576-007_10,Mss.551.5.M26,275576-7,10,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-28,sunrise,5:13,NE,NE,,,,,,,,,James Madison,light rain,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
57,66, APS-275576-007_11,Mss.551.5.M26,275576-7,11,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-29,sunrise,5:12,SW,SW,,,,,,,,,James Madison,cloudy & damp,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,67, APS-275576-007_11,Mss.551.5.M26,275576-7,11,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-29,4:00 PM,16:00,SW,SW,,,,,,,,,James Madison,thunder cloud NW bearing NE 1/2 hour after 4:00; showers of hail & rain,y,,,,,,,,,y,,y,,,,,,,,,,,,,,,,,,,,
59,68, APS-275576-007_12,Mss.551.5.M26,275576-7,12,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-30,sunrise,5:11,SW,SW,,,,,,,,,James Madison,Bank of cloud and foggy toward blue ridge cloudy,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
60,69, APS-275576-007_12,Mss.551.5.M26,275576-7,12,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-04-30,4:00 PM,16:00,NE,NE,,,,,,,,,James Madison,"thunder cloud gathering in NW from 5 1/2 after, light shower with much thunder cloudy",y,,,,,,,,,y,,,y,,,,,,,,,,,,,,,,,,,
61,70, APS-275576-007_13,Mss.551.5.M26,275576-7,13,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-01,4:00 PM,16:00,SW,SW,,,,,,,,,James Madison,"cloudy, Shower at 2:00",y,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,
62,71, APS-275576-007_13,Mss.551.5.M26,275576-7,13,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-01,sunrise,5:10,SW,SW,,,,,,,,,James Madison,Thunder Cloud & showery & Hot,y,,,,,,,,,,,,,,,,,,,,,,y,,,y,,,,,,Tulips blossom
63,72, APS-275576-007_14,Mss.551.5.M26,275576-7,14,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-02,sunrise,5:09,N,N,,,,,,,,,James Madison,fair & pleasant,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,73, APS-275576-007_14,Mss.551.5.M26,275576-7,14,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-02,4:00 PM,16:00,NE changeable,NE,,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,y,,,y,,,,,,Cabbages begin to blossom
65,74, APS-275576-007_15,Mss.551.5.M26,275576-7,15,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-03,4:00 PM,16:00,SW,SW,,,,,,,,,James Madison,flying clouds,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,75, APS-275576-007_15,Mss.551.5.M26,275576-7,15,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-03,sunrise,5:08,SW,SW,,,,,,,,,James Madison,clear,,,,,,,,,y,,,,,,,,,,,,,,y,,,,,,,,,Cucumbers up
67,76, APS-275576-007_16,Mss.551.5.M26,275576-7,16,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-04,sunrise,5:06,SW,SW,,,,,,,,,James Madison,clear & clouds mixt,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,
68,77, APS-275576-007_16,Mss.551.5.M26,275576-7,16,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,"No temperature recorded. Decided not to transcribe "veering" by itself into Wind Direction to maintain machine-readable wind direction""o temperature recorded. Decided not to transcribe "veering" by itself into Wind Di"" temperature recorded. Decided ",,1784-05-04,4:00 PM,16:00,SW veering,SW,,,,,,,,,James Madison,Bank to W&NW Shower at noon,,,,,,,,,,y,,,,,,,,,,,,,y,,,y,,,,,,Narcissus blossom
69,78, APS-275576-007_17,Mss.551.5.M26,275576-7,17,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-05,sunrise,5:05,NE,NE,,,,,,,,,James Madison,cloudy & foggy,y,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,
70,79, APS-275576-007_17,Mss.551.5.M26,275576-7,17,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-05,4:00 PM,16:00,NE,NE,,,,,,,,,James Madison,Cloudy all day and little Rain cloudy,y,,,,,,,,,y,,,,,,,,,,,,,y,,,y,,,,,,Forward peas begin to blossom
71,80, APS-275576-007_18,Mss.551.5.M26,275576-7,18,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,"No temperature recorded. Decided to use "all day" as meteorological comment when the columns imply the modifier for "all day" (e.g.  Cloudy)""o temperature recorded. Decided to use "all day" as meteorological comment when the columns imply t"" temperature recorded. Decided to use "all day" as meteorol""temperature recorded",,1784-05-06,sunrise,5:04,NE,NE,,,,,,,,,James Madison,cloudy all day,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,81, APS-275576-007_18,Mss.551.5.M26,275576-7,18,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,"No temperature recorded. Transcribed comment Druckenbrod had not transcribed from "Miscellanea" in original document. Transcribing "W & by S" and all variations thereof ain standard wind direction notation.""o temperature recorded. Transcribed comment Druckenbrod had not transcribed from "Miscellanea" in original document. Transc"" temperature recorded. Transcribed commen",,1784-05-06,4:00 PM,16:00,W & by S,SW,,,,,,,,,James Madison,Thunder & small Shower,,,,,,,,,,y,,,y,,,,,,,,,,y,,,,y,,,,,"Sowed forever pease, 2 dble rows"
73,82, APS-275576-007_19,Mss.551.5.M26,275576-7,19,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded. Setting Wind Direction in standard notation.,,1784-05-07,sunrise,5:03,W by S,SW,,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,83, APS-275576-007_19,Mss.551.5.M26,275576-7,19,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-07,4:00 PM,16:00,NE,NE,,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,84, APS-275576-007_20,Mss.551.5.M26,275576-7,20,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,"No temperature recorded. Setting "westerly" etc. as W in Wind Direction.""o temperature recorded. Setting "weste"" temp",,1784-05-08,4:00 PM,16:00,Westerly,W,,,,,,,,,James Madison,cloudy,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,85, APS-275576-007_20,Mss.551.5.M26,275576-7,20,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded.,,1784-05-08,sunrise,5:02,Southerly,S,,,,,,,,,James Madison,fair,,y,,,,,,,,,,,,,,,,,,,,,y,,,y,,,,,,Woodbine begin to blossom
77,86, APS-275576-007_21,Mss.551.5.M26,275576-7,21,https://diglib.amphilsoc.org/islandora/object/text%3A275576-7,No temperature recorded. Setting Wind Direction in standard notation.,,1784-05-09,4:00 PM,16:00,W & by S,SW,,,,,,,,,James Madison,Hazy clouds,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
